L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Energia
399.9;0;2425.73;0;6174.882;355.9;0;0;663.84;9869;9165;17749.7;111490
2246.4;372.6;3748.524;0;4391.21;0;0;1390.44;1761.54;6148;6218;14575.7;136104
2758.2;1994.1;3082.046;0;6423.68;257.2;0;797.88;1832.46;6284;17811;12205.7;140517
2242.8;2191.371;2604.074;0;4698.273;216.1;0;0;1318.98;15889;16120;8729.6;119145.843
2657.7;2731.779;2547.821;0;6266.436;0;0;0;0;9130;14140;0;109283.5
0;0;3608.774;0;6057.544;0;0;0;0;5824;11540;0;81771.9
0;0;4417.066;0;6747.73;30;802.44;0;0;9722;5810;10517.8;93462
2215.5;0;2566.011;0;6390.713;386.2;0;0;2263.44;2640;7912;15994.1;116624.5
2976.6;0;3745.562;0;1858.602;623.5;0;0;1192.632;0;13833;3627;99262.6
2479.95;0;2407.837;0;2123.378;24.3;23.76;0;1469.88;9381;3340;1678.6;97211.9
3702;0;2431.097;0;6120.651;263.4;183.816;0;2332.368;9261;17710;18883.9;130434.85
2634;0;2157.051;0;6808.296;253;0;0;840;12451;17641;15203.1;115698.23
0;0;4558.924;0;6244.203;0;0;0;0;9161;10570;19493.4;104830.4
0;2424.522;3895.727;0;5221.936;215.1;0;811.8;3036.75;6294;10370;17561.9;139547.4
2353.8;3067.74;3814.87;0;4588.037;390;0;1123.68;1917.51;7265;10092;0;127844.2
2769.6;3021.027;4328.117;0;1958.226;0;125.88;0;1785.75;9486;14250;5057.5;119730.3
2997.9;2949.75;926.806;272.683;4134.262;0;436.44;567.36;1731.36;6318;6260;12831.6;137161.6
2392.2;1686.774;0;2537.555;10113.446;0;0;0;2446.56;6368;12104;8250.6;127542
2439.15;1393.386;0;3554.501;2784.956;0;0;0;2780.34;4917;12082;0;118427.7
0;0;0;1557.541;7820.476;0;0;0;0;3959;9670;0;73920.75
0;0;1021.548;0;7139.125;0;0;0;0;12809;9150;0;68788.88
0;0;2532.229;0;7295.038;0;0;0;0;6435;4800;0;70482.8
0;1691.19;4275.997;0;4043.514;0;0;0;0;6324;9676;7037.8;82083.9
0;3455.589;2531.036;0;4490.229;0;0;0;0;6281;920;0;71070.1
0;0;0;0;0;0;0;0;0;0;0;0;44254.3662
0;0;0;0;0;0;0;0;0;0;0;0;27987.1317
0;0;0;0;0;0;0;0;0;4982;0;0;30211.236
0;0;0;0;0;0;0;0;0;4895;6600;0;42317.5203
0;0;0;0;4099.479;0;0;1200;3420;5095;0;0;62567.3961
0;0;0;0;1101.434;0;0;0;5425.32;0;0;12401.8;73549.0965
0;0;0;0;0;0;0;0;4380.24;0;0;3637.9;62830
0;0;0;0;0;0;0;0;3840.87;3613;0;0;56117.7
0;0;0;0;0;0;0;0;1152.6;0;9000;0;47762.6
0;0;0;0;0;0;0;0;0;5948;5;0;28462.6
0;1719.204;2853.455;0;0;0;0;0;0;0;0;0;48127.9557
0;2415.69;3072.12;0;0;0;0;0;0;0;9700;0;48521
0;2262.993;3364.91;0;0;0;0;0;0;0;8380;12340.4;70246
2813.4;0;2894.351;0;0;0;0;0;0;0;5360;12534.5;72834
0;0;0;0;0;0;0;0;0;12590;0;0;30327
0;0;0;0;0;0;0;0;0;0;0;0;32879
0;0;0;0;0;0;0;0;0;0;0;0;25734
0;1467.216;444.233;0;0;0;395.28;0;1555.44;0;867;0;50941.512
0;0;0;0;0;0;0;0;0;0;0;1047.8;39979.4
0;2528.091;2590.165;0;0;0;0;0;3718.92;9324;4500;11313;85749.5991
0;3288.747;3568.133;0;667.752;0;0;0;4324.68;6266;5150;12565.2;99554.9
0;418.485;3469.195;0;993.014;0;0;0;3442.74;0;11250;12264;95909.2
0;0;4031.089;0;450.548;0;0;0;800.4;0;3150;3572.2;71656.9557
0;0;1788.731;0;1723.55;0;0;0;0;3034;0;0;57767.2755
0;0;0;0;3502.098;0;0;0;1756.8;0;7200;0;60268.9
0;2018.25;4156.269;0;3549.711;0;0;0;4311;4890;5038;5688;96454
0;3415.5;3759.557;0;831.614;0;0;0;4999.32;4977;4242;13198.6;103109
0;3071.604;3320.436;0;0;0;0;0;3407.58;0;11277;12913.8;94963
0;3134.049;0;0;4222.627;0;0;0;1194.75;9275;10160;9210;96283
0;0;3375.986;0;3937.917;0;0;0;0;3131;6518;0;69226
0;0;0;0;5406.214;0;0;0;0;0;8085;0;64291
0;322.92;2711.277;0;2017.339;0;0;0;4698;5947;3553;15534.9;93860
0;2574.39;3653.633;0;1352.4;0;0;0;3743.4;5844;0;12256.1;103166
0;2996.808;3229.889;0;2961.882;0;0;0;0;10114;6021;6391;86877
