L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
1349.25,0.0,1988.483,0.0,4339.279,0.0,0.0,1944.12,4326.36,6100,10372.0,8687.7,119827.0,1
0.0,0.0,3222.115,0.0,6069.124,0.0,451.68,2700.84,4756.44,6106,12177.0,13348.0,123067.0,1
0.0,1831.95,4448.74,0.0,5391.002,0.0,346.68,2984.52,2039.25,12587,15601.0,14135.9,122618.0,1
0.0,3086.784,4328.458,0.0,5174.322,0.0,0.0,2261.16,3377.85,9494,8350.0,16020.5,127863.0,1
1514.25,2704.041,4076.138,0.0,5305.904,0.0,0.0,2662.56,2750.55,14633,15800.0,12934.4,142746.0,1
3073.95,3407.841,3317.092,0.0,5675.469,0.0,0.0,2439.72,4037.28,5862,14019.0,11696.6,144767.0,1
3152.55,2857.842,4064.976,0.0,6148.614,0.0,0.0,0.0,4443.36,9519,16001.0,14568.8,135654.0,1
0.0,0.0,1128.091,0.0,2048.368,0.0,0.0,1901.52,2648.064,5039,3367.0,2276.2,106709.0,1
0.0,0.0,3033.334,0.0,3970.238,0.0,0.0,1582.56,1262.364,5448,8234.0,10644.5,114012.0,1
0.0,1134.015,3810.783,0.0,4861.529,0.0,0.0,1565.88,2786.97,12228,11033.0,9930.0,112234.0,1
723.45,3207.12,4065.254,0.0,6039.83,0.0,0.0,2635.92,3137.88,2606,14588.0,5702.0,127135.0,1
2820.9,0.0,2535.296,0.0,5610.668,0.0,0.0,2042.04,1117.14,9122,10670.0,7653.7,121362.0,1
1678.05,0.0,4442.37,0.0,6064.403,11.7,0.0,2526.36,1288.98,0,10531.0,10168.9,121013.0,1
0.0,0.0,3953.749,0.0,5453.828,0.0,0.0,0.0,311.67,12118,8920.0,13091.7,91032.0,1
0.0,0.0,1777.911,0.0,3812.591,80.0,0.0,0.0,3555.72,5894,11209.0,9897.9,110229.0,1
0.0,0.0,3435.391,0.0,5716.183,64.0,0.0,2830.92,1525.26,6082,5163.0,8532.9,119026.0,1
0.0,2353.59,4163.852,0.0,5223.67,0.0,0.0,3440.16,3490.38,6152,10066.0,5545.3,107125.0,1
0.0,2864.535,2797.201,0.0,6399.349,0.0,0.0,4104.0,2346.84,9243,16531.0,3233.1,128126.0,1
866.25,3805.764,4448.974,0.0,6635.033,0.0,0.0,4368.96,1233.288,12050,13036.0,5529.3,121908.0,1
2959.2,1285.47,3622.47,0.0,3333.757,0.0,0.0,1742.4,512.88,8750,7099.0,13058.7,118421.0,1
0.0,0.0,4091.943,0.0,3052.056,0.0,0.0,761.52,1679.76,6539,14420.0,9623.1,110422.0,1
0.0,0.0,3059.468,0.0,5103.84,0.0,193.752,986.4,2051.46,5894,3600.0,11255.5,111233.0,1
0.0,0.0,3690.012,0.0,2767.212,275.2,424.8,2023.44,1803.6,4200,9371.0,16513.5,114426.0,1
2218.65,353.97,4507.634,0.0,5547.444,0.0,373.08,1963.2,2862.36,14605,15856.0,11188.5,129330.0,1
3158.55,3479.601,4045.126,0.0,7231.308,0.0,509.28,2261.76,4116.45,11868,15667.0,5221.2,136214.0,1
3055.2,3496.23,3563.384,0.0,2462.586,0.0,0.0,3180.0,3286.68,9449,14916.0,15260.8,142388.0,1
1161.0,3160.062,3001.553,0.0,5406.198,0.0,0.0,3347.28,2377.26,8652,10291.0,16432.8,148409.0,1
0.0,0.0,4416.257,0.0,6056.988,0.0,0.0,865.2,3291.15,3036,12912.0,15871.6,118256.0,1
